name,calories,protein,fat,carbs,unit_of_measure,qty
"Squash, winter, acorn, raw",42.0,1.2,0.2,10.5,oz,3.5
"Squash, winter, butternut, raw",41.7,1.1,0.2,10.5,oz,3.5
"Squash, summer, yellow, includes skin, raw",19,0.9,0.1,4.4,oz,3.5
"Squash, summer, green, zucchini, includes skin, raw",16,1.0,0.2,3.3,oz,3.5
"Seeds, pumpkin seeds (pepitas), raw",514.8,29.9,40.0,18.7,oz,3.5
"Peppers, bell, green, raw",19.7,0.7,0.1,4.8,oz,3.5
"Peppers, bell, orange, raw",27.4,0.9,0.2,6.7,oz,3.5
"Peppers, bell, red, raw",27.0,0.9,0.1,6.7,oz,3.5
"Peppers, bell, yellow, raw",26.6,0.8,0.1,6.6,oz,3.5
"Apples, fuji, with skin, raw",58.2,0.1,0.2,15.7,oz,3.5
"Apples, gala, with skin, raw",54.9,0.1,0.1,14.8,oz,3.5
"Apples, honeycrisp, with skin, raw",54.0,0.1,0.1,14.7,oz,3.5
"Apples, granny smith, with skin, raw",53.0,0.3,0.1,14.1,oz,3.5
"Apples, red delicious, with skin, raw",55.6,0.2,0.2,14.8,oz,3.5
"Apple juice, with added vitamin C, from concentrate, shelf stable",47.2,0.1,0.3,11.4,oz,3.5
"Peppers, bell, orange, raw",27.4,0.9,0.2,6.7,oz,3.5
"Orange juice, no pulp, not fortified, from concentrate, refrigerated",45.7,0.7,0.3,10.3,oz,3.5
"Orange juice, no pulp, not fortified, not from concentrate, refrigerated",45.0,0.8,0.4,10.0,oz,3.5
"Sweet potatoes, orange flesh, without skin, raw",77.4,1.6,0.4,17.3,oz,3.5
"Grapes, green, seedless, raw",71.9,0.9,0.2,18.6,oz,3.5
"Grapes, red, seedless, raw",77.2,0.9,0.2,20.2,oz,3.5
"Grape juice, purple, with added vitamin C, from concentrate, shelf stable",64.5,0.3,0.3,15.6,oz,3.5
"Grape juice, white, with added vitamin C, from concentrate, shelf stable",64.6,0.1,0.3,15.8,oz,3.5
"Strawberries, raw",32.7,0.6,0.2,8.0,oz,3.5
"Blueberries, raw",57.4,0.7,0.3,14.6,oz,3.5
"Raspberries, raw",51.4,1.0,0.2,12.9,oz,3.5
"Mango, Ataulfo, peeled, raw",70.6,0.7,0.7,17.4,oz,3.5
"Mango, Tommy Atkins, peeled, raw",61.6,0.6,0.6,15.3,oz,3.5
"Pineapple, raw",54.0,0.5,0.2,14.1,oz,3.5
"Kiwifruit (kiwi), green, peeled, raw",58.5,1.0,0.6,13.8,oz,3.5
"Plum, black, with skin, raw",52.7,0.6,0.3,13.5,oz,3.5
"Pear, Anjou, green, with skin, raw",57.3,0.3,0.4,14.8,oz,3.5
"Melons, honeydew, raw",32.9,0.5,0.2,8.1,oz,3.5
"Grapefruit juice, red, not fortified, not from concentrate, refrigerated",39.8,0.6,0.3,9.1,oz,3.5
"Apricot, with skin, raw",43.5,1.0,0.4,10.2,oz,3.5
"Almond butter, creamy",602.5,20.8,53.0,21.2,oz,3.5
"Peanut butter, creamy",589.4,24.0,49.4,22.7,oz,3.5
